,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max,Temp,Wind,Speed
418,Praia da Vitoria,75,PT,1549674000,88,38,-27,62,62,204,35
419,San Andres,0,PH,1549675927,100,13,122,78,78,33,9
420,Lipari,40,IT,1549673700,87,38,14,51,51,310,4
421,Lardos,40,GR,1549673400,71,36,28,55,55,270,12
422,Brownsville,90,US,1549673700,67,25,-97,48,46,340,12
423,Huntingdon,1,GB,1549673760,98,52,0,44,43,230,21
424,Rome,0,IT,1549673700,87,41,12,42,41,100,4
425,Sao Felix do Xingu,32,BR,1549676217,96,-6,-51,74,74,24,2
426,Nyurba,48,RU,1549676217,66,63,118,-4,-4,311,4
427,Alice Springs,0,AU,1549674000,22,-23,133,80,80,120,17
428,Alta,44,NO,1549673400,78,69,23,10,8,190,10
429,Teahupoo,75,PF,1549674000,78,-17,-149,82,82,210,4
430,Timbuktu,64,ML,1549676218,33,16,-3,58,58,26,4
431,Takoradi,0,GH,1549676218,100,4,-1,79,79,197,1
432,Jizan,0,SA,1549674000,69,16,42,77,77,100,3
433,Kloulklubed,75,PW,1549673400,74,7,134,84,84,50,11
434,Hibbing,1,US,1549674960,70,47,-92,-9,-10,290,6
435,Guiuan,56,PH,1549676219,100,11,125,78,78,14,13
436,Kachiry,32,KZ,1549676219,28,53,76,-19,-19,131,12
437,Lazaro Cardenas,20,MX,1549673580,35,28,-105,57,57,50,9
438,Anchorage,40,US,1549674480,92,61,-149,30,28,69,1
439,Zhanaozen,44,KZ,1549676219,91,43,52,27,27,20,10
440,Miri,0,NG,1549676220,52,10,9,51,51,13,4
441,Guarapari,75,BR,1549674000,78,-20,-40,82,82,30,6
442,Soyo,88,AO,1549676220,89,-6,12,79,79,233,1
443,Greenland,0,GB,1549673400,75,53,-1,44,42,210,18
444,Mnogovershinnyy,56,RU,1549676221,59,53,139,-2,-2,297,5
445,Camacha,20,PT,1549674000,82,33,-16,59,57,60,3
446,Pandharpur,0,IN,1549676221,51,17,75,55,55,357,6
447,Codrington,0,AU,1549674000,45,-28,153,87,87,150,4
448,Auxerre,75,FR,1549674000,81,47,3,48,48,220,27
449,Qasigiannguit,32,GL,1549673400,84,68,-51,0,0,170,4
450,Excelsior Springs,1,US,1549674900,52,39,-94,21,17,130,6
451,Beyneu,24,KZ,1549676222,90,45,55,22,22,36,10
452,Rio Gallegos,40,AR,1549674000,53,-51,-69,51,51,250,14
453,Ust-Maya,48,RU,1549676223,48,60,134,-29,-29,178,3
454,Grants Pass,90,US,1549673760,65,42,-123,44,39,304,2
455,Fairbanks,90,US,1549673880,87,64,-147,23,20,134,3
456,Luoyang,68,CN,1549676223,78,34,112,27,27,99,9
457,Toora-Khem,8,RU,1549676223,38,52,96,-28,-28,5,0
458,Dudinka,56,RU,1549676224,66,69,86,-14,-14,186,24
459,Obo,8,CF,1549676224,82,5,26,69,69,319,2
460,Henties Bay,92,NA,1549676224,100,-22,14,63,63,171,4
461,Kajaani,90,FI,1549673400,91,64,27,32,32,220,8
462,Chester,75,GB,1549673400,88,53,-2,42,42,230,25
463,Soure,75,PT,1549670400,93,40,-8,51,51,160,4
464,La Palma,68,CO,1549676225,100,5,-74,66,66,125,2
465,Zhigansk,48,RU,1549676226,57,66,123,-5,-5,347,9
466,Novaya Igirma,56,RU,1549676226,75,57,103,-17,-17,223,2
467,Ilulissat,32,GL,1549673400,84,69,-51,0,0,170,4
468,Barddhaman,0,IN,1549676226,95,23,87,69,69,231,4
469,Buraydah,40,SA,1549674000,100,26,43,55,55,220,4
470,Cooma,40,AU,1549675320,39,-36,149,66,66,300,17
471,Bilma,0,NE,1549676227,44,18,12,48,48,9,12
472,Domanivka,56,UA,1549676227,94,47,30,27,27,46,5
473,Zamora,88,ES,1549674000,93,41,-5,37,37,214,7
474,Hostotipaquillo,0,MX,1549676228,58,21,-104,63,63,317,1
475,Sur,0,OM,1549676228,100,22,59,66,66,108,4
476,Gharo,0,PK,1549674000,40,24,67,51,51,80,9
477,Hovd,75,NO,1549673400,64,63,10,37,33,110,21
478,Grand-Santi,36,GF,1549676228,76,4,-54,77,77,29,4
479,Sao Gabriel da Cachoeira,20,BR,1549676229,97,0,-67,72,72,150,2
480,Bonthe,0,SL,1549676229,91,7,-12,78,78,271,4
481,Kulhudhuffushi,32,MV,1549676229,100,6,73,82,82,113,4
482,Novikovo,88,UA,1549676229,100,45,34,32,32,2,3
483,Braco do Norte,20,BR,1549676230,94,-28,-49,65,65,340,3
484,Makakilo City,20,US,1549673820,42,21,-158,80,77,10,11
485,Tabou,0,CI,1549676230,99,4,-7,82,82,175,6
486,Bubaque,12,GW,1549676230,100,11,-15,76,76,242,9
487,Polyarnyy,75,RU,1549674000,84,69,33,3,3,175,2
488,Lexington,1,US,1549674900,62,38,-84,26,26,310,9
489,Gizo,75,IL,1549673400,87,31,34,53,53,150,8
490,Alibag,0,IN,1549674000,32,18,72,68,65,340,12
491,Azacualpa,75,HN,1549674000,83,15,-88,78,78,23,2
492,Bjornevatn,68,NO,1549673400,84,69,29,-2,-2,290,4
493,Puerto Barrios,75,GT,1549674000,83,15,-88,78,78,23,2
494,Faanui,88,PF,1549676232,100,-16,-151,83,83,90,12
495,Bajil,0,ES,1549676232,81,38,-2,28,28,298,2
496,Pamplona,36,ES,1549674000,86,42,-1,48,43,255,2
497,Khor,0,RU,1549676233,61,47,134,-2,-2,222,5
498,Tahe,0,CN,1549676233,41,52,124,0,0,331,8
499,Beira,56,ES,1549674000,93,43,-8,51,50,210,6
500,Kadom,68,RU,1549676233,91,54,42,20,20,218,9
501,Namatanai,56,PG,1549676233,89,-3,152,86,86,318,17
502,Jaguaribe,0,BR,1549676234,89,-5,-38,73,73,358,3
503,Mezhdurechensk,0,RU,1549676234,0,53,88,-28,-28,96,2
504,Half Moon Bay,90,US,1549673760,87,37,-122,48,48,140,5
505,Amapa,40,HN,1549674000,74,15,-87,78,78,360,11
506,Tallahassee,90,US,1549674900,51,30,-84,64,59,12,8
507,Port Keats,8,AU,1549676235,74,-14,129,89,89,278,19
508,Ronne,40,FR,1549674000,87,48,0,46,46,240,20
509,Saldanha,48,PT,1549676235,97,41,-6,38,38,182,3
510,Beibei,90,CN,1549674000,93,29,106,44,44,10,11
511,Plainview,90,US,1549674900,30,34,-101,33,32,150,16
512,Totness,1,US,1549674900,24,33,-80,62,61,340,11
513,Panzhihua,0,CN,1549676236,35,26,101,64,64,191,3
514,Mezen,92,RU,1549676236,80,65,44,19,19,158,8
515,Barcelos,75,PT,1549674000,100,41,-8,51,51,210,6
516,Birao,20,CF,1549676237,60,10,22,66,66,325,2
517,Santa Fe,88,AR,1549676237,61,-31,-60,77,77,170,6
518,Ancud,75,CL,1549674000,72,-41,-73,59,59,190,4
519,Natal,20,BR,1549674000,78,-5,-35,80,79,140,5
520,Mucuri,80,BR,1549676238,87,-18,-39,79,79,44,9
521,Alta Floresta,8,BR,1549676238,97,-9,-56,75,75,50,2
522,Mandalgovi,0,MN,1549676238,48,45,106,-5,-5,326,4
523,Touros,20,BR,1549674000,88,-5,-35,78,78,180,3
524,Gua Musang,8,MY,1549676239,78,4,101,80,80,36,2
525,Yaan,0,NG,1549676239,42,7,8,64,64,68,6
526,Balad,32,ID,1549676239,100,-6,108,82,82,128,2
527,Saulkrasti,90,LV,1549673400,96,57,24,33,33,180,13
528,Calbuco,75,CL,1549674000,82,-41,-73,57,57,230,6
529,Zavyalovo,20,RU,1549674000,65,54,82,-34,-34,60,3
530,Tadine,56,NC,1549676240,92,-21,167,80,80,116,16
531,San Rafael,0,AR,1549676128,72,-34,-68,69,69,88,6
532,Haines Junction,12,CA,1549676241,67,60,-137,-6,-6,275,1
533,Oranjestad,20,AW,1549674000,74,12,-70,78,78,90,14
534,Comodoro Rivadavia,36,AR,1549674000,28,-45,-67,69,69,290,29
535,Oriximina,56,BR,1549676241,93,-1,-55,77,77,330,1
536,Houma,68,CN,1549676086,66,35,111,27,27,133,3
537,Havre-Saint-Pierre,90,CA,1549674900,100,50,-63,28,28,190,3
538,Celestun,0,MX,1549676242,95,20,-90,75,75,51,23
539,Songjianghe,0,CN,1549676242,62,42,127,2,2,272,3
540,Santa Maria del Oro,0,MX,1549676242,25,25,-105,54,54,222,6
541,Faranah,0,GN,1549676243,45,10,-10,66,66,44,5
542,Inverness,64,GB,1549673400,81,57,-4,44,44,210,8
543,Itarema,92,BR,1549676243,96,-2,-39,77,77,96,5
544,Burns Lake,0,CA,1549676243,42,54,-125,-1,-1,46,9
